product,protein,fat,carbs,calories,price,weight_per_100g,full_package_weight,is_promo,category
"ძეხვი ნედლად შებოლილი ""პრემიო"" ჩორიზო",14,26,2,300,18.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""პრემიო"" ჩორიზო",14,26,2,300,9.5,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""პრემიო"" პეპერონი",14,26,2,300,9.5,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" პეპერონი",14,26,2,300,19.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ნაპოლი",14,26,2,300,19.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ნაპოლი",14,26,2,300,6.66,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" პეპერონი",14,26,2,300,6.55,100,,0,ძეხვეული
"ძეხვი მოხარშული ""ბიუ ბიუ"" საექიმო ქათმის",14,26,2,300,4.95,100,,0,ძეხვეული
"ინდაურის პაშტეტი "" პროფი""",14,26,2,300,3.5,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" დელიკატესი დე რომა",12,22,2.5,260,13.95,100,,0,ძეხვეული
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",14,26,2,300,7.65,100,,0,ძეხვეული
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სალიამი",14,26,2,300,8.95,100,,0,ძეხვეული
"ძეხვი შებოლილი ""პრემიო"" მონადირული",14,26,2,300,2.8,100,,0,ძეხვეული
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ფინური",14,26,2,300,9.95,100,,0,ძეხვეული
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",14,26,2,300,5.1,100,,0,ძეხვეული
"ძეხვი შებოლილი ""პრემიო"" მონადირული",14,26,2,300,5.49,100,,0,ძეხვეული
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ვენური 480გრ",14,26,2,300,9.95,100,,0,ძეხვეული
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ფინური",14,26,2,300,6.45,100,,0,ძეხვეული
"ძეხვი შებოლილი ""ლიდერ ფუდი"" მონადირული ლუდისთვის",14,26,2,300,7.95,100,,0,ძეხვეული
"ძეხვი შებოლილი ""ლიდერ ფუდი"" მონადირული ლუდისთვის",14,26,2,300,5.95,100,,0,ძეხვეული
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",14,26,2,300,11.6,100,,0,ძეხვეული
"ძეხვი შებოლილი ""ლიდერ ფუდი"" კრაკოვური",14,26,2,300,6.55,100,,0,ძეხვეული
