product	protein	fat	carbs	calories	price	sale_type	unit_weight	total_package_weight	is_promo
მდნარი ყველი "პრეზიდენტი" ჩიზბურგერი /ფენა/	0	0	0	0	8.45	weight	0	150	0
მდნარი ყველი "პრეზიდენტი" ლორით /ფენა/	0	0	0	0	8.45	weight	0	150	0
მდნარი ყველი "პრეზიდენტი" ნაღების /ფენა/ 150გრ	0	0	0	0	8.45	weight	0	150	0
მდნარი ყველი "პრეზიდენტი" ნაღების /ვანა/	0	0	0	0	8.95	weight	0	200	0
კრემ ყველი "პრეზიდენტი"	0	0	0	0	9.55	weight	0	275	0
ყველი "პრეზიდენტი" მოცარელა	0	0	0	0	29.75	weight	0	600	0
ყველი "პრეზიდენტი" გაუდა დაჭრილი	0	0	0	0	11.45	weight	0	150	0
ყველი "პრეზიდენტი" ედამი დაჭრილი	0	0	0	0	11.45	weight	0	150	0
ყველი "პრეზიდენტი" ლაბნე ზეთისხილით	0	0	0	0	6.35	weight	0	180	0
ყველი "პრეზიდენტი" მაზდამი 150გრ	0	0	0	0	11.45	weight	0	150	0
ყველი "გალბანი" გრანგუსტო	0	0	0	0	15.95	weight	0	200	0
ყველი "ხიზა" ქარხნული 500გრ	0	0	0	0	11.5	weight	0	500	0
ყველი "წიფორა სამცხე" ქარხნული	0	0	0	0	13.7	weight	0	650	0
ყველი "წიფორა სამცხე" სულგუნი შებოლილი დაწნული	0	0	0	0	1.2	weight	0	25	0
ყველი "წიფორა სამცხე" სულგუნი შებოლილი დაწნული 60გრ	0	0	0	0	2.9	weight	0	60	0
ყველი "წიფორა სამცხე" შებოლილი ჩხირები	0	0	0	0	2.25	weight	0	50	0
ყველი "ხიზა" სულგუნი	0	0	0	0	11.5	weight	0	400	0
ყველი "წიფორა სამცხე" სულგუნი შებოლილი	0	0	0	0	13.8	weight	0	450	0
ყველი "წიფორა სამცხე" სულგუნი	0	0	0	0	13.35	weight	0	500	0
ყველი "წიფორა სამცხე" იმერული 600გრ	0	0	0	0	12.35	weight	0	600	0
ყველი "ხიზა" იმერული	0	0	0	0	10.45	weight	0	500	0
მდნარი ყველი "პრეზიდენტი" ლორით /ვანა/	0	0	0	0	8.95	weight	0	200	0
ყველი "ლერდამერი" დაჭრილი	0	0	0	0	10.35	weight	0	160	0
კარაქი & სპრედი	0	0	0	0	0	package_weight	0	0	0
